id,book_name,char,caption,content,label,claims
46,In Search of the Castaways,Thalcave,,"Thalcave’s people faded as colonists advanced; his father, last of the tribal guides, knew the pampas geography and animal ways, while his mother died giving birth. Boyhood was spent roaming the plains with his father, learning to track, tame horses and steer by the stars.",consistent,"[""Thalcave's people disappeared as colonists approached."", ""Thalcave's father was the last tribal guide."", ""Thalcave's father knew pampas geography."", ""Thalcave's father understood animal ways."", ""Thalcave's mother died during childbirth."", ""Thalcave spent his boyhood roaming the plains with his father."", ""Thalcave learned to track with his father."", ""Thalcave learned to tame horses with his father."", ""Thalcave learned to steer by the stars with his father.""]"
137,The Count of Monte Cristo,Faria,The Origin of His Connection with the Count of Monte Cristo,"Suspected again in 1815, he was re-arrested and shipped to the Château d’If, this time for life.",contradict,"[""He was suspected again in 1815."", ""He was re-arrested."", ""He was shipped to the Ch\u00e2teau d'If."", ""The Ch\u00e2teau d'If is a location."", ""This was his second imprisonment at the Ch\u00e2teau d'If."", ""His sentence this time was for life.""]"
74,In Search of the Castaways,Kai-Koumou,,Before each fight he studied the crack-patterns of his mother’s shark-tooth necklace by moonlight to divine the outcome.,consistent,"[""He studied crack-patterns."", ""His mother has a shark-tooth necklace."", ""He studies it by moonlight."", ""The goal is to divine the outcome."", ""Each study happens before a fight.""]"
109,The Count of Monte Cristo,Noirtier,The Complexity of Family and Personal Life,Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering.,contradict,"[""Villefort drifted toward the royalists."", ""Villefort was disappointed by his own drift."", ""Villefort's father and Villefort argued about politics."", ""Villefort and his father argued frequently."", ""Arguments were a part of their family gatherings.""]"
104,The Count of Monte Cristo,Noirtier,Involvement and Turning Point in the French Revolution,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",consistent,"[""His parents were targeted."", ""He supports the Revolution."", ""They are targeted in reprisal."", ""His mother is killed."", ""This event deepens his distrust of authority.""]"
35,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; “marooning” was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",contradict,"[""Captain Grant discovered a forged logbook."", ""Grant threatened to report the forgery."", ""The mutiny began."", ""Ayrton marooned Captain Grant."", ""Ayrton locked Grant inside a keel-less lifeboat."", ""Ayrton attempted to silence Grant.""]"
18,In Search of the Castaways,Jacques Paganel,,"He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility.",consistent,"[""He found bribery entries in his father's ledgers."", ""He reported the bribery entries to someone."", ""His father's colleague was dismissed as a result."", ""He witnessed his father's colleague being dismissed."", ""Temporary gossip spread about the incident."", ""He became wary of the upper nobility.""]"
31,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",consistent,"[""Yurook was an indigenous elder."", ""He rescued Yurook from colonists."", ""The colonists were attempting to capture Yurook."", ""Yurook received tribal protection as a result of the rescue."", ""He learned bush tracking skills."", ""He secretly mapped settler outposts.""]"
68,In Search of the Castaways,Kai-Koumou,,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the “sun-devouring warrior.” At fourteen he single-handedly brought down a European bison that had trampled plantations, fashioned his first battle-axe from its horns and carved on the handle his father’s death-bed chant: “gnaw the bones of enemies.”",consistent,"[""A flame-shaped birthmark was on his forehead."", ""He was ten years old when migrating with his clan."", ""Elders thought he was the reincarnation of the \""sun-devouring warrior\""."", ""He was fourteen when he single-handedly brought down a European bison."", ""The bison had trampled plantations before being killed."", ""He fashioned a battle-axe from the bison's horns."", ""A chant on the axe handle was his father's death-bed chant."", ""The chant said: \""gnaw the bones of enemies\"".""]"
9,In Search of the Castaways,Jacques Paganel,,"He accidentally slipped a farewell letter to his French sweetheart into an academic report; the romance ended, yet the Academy of Sciences praised the document.",consistent,"[""He slipped a letter into an academic report."", ""The letter was a farewell message to a French woman."", ""The romance between him and the French woman ended."", ""A farewell letter was written by him."", ""The letter was intended for his French sweetheart."", ""The report contained the farewell letter unintentionally."", ""The Academy of Sciences praised the academic document."", ""The document received praise from the Academy of Sciences.""]"
84,In Search of the Castaways,Kai-Koumou,,"In a skirmish at a British outpost friendly fire killed several of his comrades; he took bones from their bodies as tokens, swore to shield the survivors and from that moment sealed his emotions.",consistent,"[""Friendly fire kills several comrades."", ""He takes bones from their bodies."", ""Bones are used as tokens."", ""He swears to shield survivors."", ""Emotions become sealed.""]"
83,In Search of the Castaways,Kai-Koumou,,"At eighteen, on the run in Tasmania, he met the escaped convict Ayrton hiding in the bush; the two fugitives pooled their languages and survival skills, raided together for ransom and forged a brotherhood laced with mutual wariness.",contradict,"[""He was 18 years old when he met someone."", ""The person he met was Ayrton."", ""Ayrton was an escaped convict."", ""They both were hiding in the bush at that time."", ""They combined their languages."", ""They combined their survival skills."", ""They raided together for ransom."", ""They forged a brotherhood."", ""Their relationship had mutual wariness.""]"
134,The Count of Monte Cristo,Faria,Secret Society and Political Struggle,After graduation a secret society enlisted him as strategist and propagandist in a campaign against corrupt rulers.,consistent,"[""A secret society enlisted him."", ""He became strategist."", ""The secret society used him as propagandist."", ""Their campaign was against corrupt rulers.""]"
88,The Count of Monte Cristo,Noirtier,Political Awakening in Youth,"Under the alias “Citizen Noirtier” he joined the Girondins, drafted parts of the Revolutionary Code and broke with Robespierre over whether courts should keep formal procedures.",consistent,"[""He joined the Girondins under the alias \""Citizen Noirtier\""."", ""He drafted parts of the Revolutionary Code."", ""He broke with Robespierre."", ""Courts should not keep formal procedures according to him."", ""Courts should keep formal procedures according to Robespierre.""]"
67,In Search of the Castaways,Kai-Koumou,,"Born on New Zealand’s North-island east coast to a Maori war-chief father and a priestess mother skilled in herbs and star-reading, he saw his father ambushed by a British musket squad, the body mutilated, the left ear taken as trophy; his mother tattooed a vengeance curse on his chest with ochre.",consistent,"[""He was born on New Zealand's North-island east coast."", ""His father was a Maori war-chief."", ""His mother was a priestess skilled in herbs and star-reading."", ""A British musket squad ambushed his father."", ""His father's body was mutilated."", ""The left ear of his father was taken as trophy."", ""His mother tattooed a vengeance curse on his chest with ochre.""]"
112,The Count of Monte Cristo,Noirtier,Wisdom and Influence in the Post-Revolution Era,"Through underground circles he met the Count of Monte Cristo and fed the avenger vital information, lending invisible aid to the plot against his enemies.",contradict,"[""He met the Count of Monte Cristo."", ""The Count of Monte Cristo was an avenger."", ""He fed the Count vital information."", ""The information lent invisible aid to the plot."", ""The plot was against the Count's enemies.""]"
79,In Search of the Castaways,Kai-Koumou,,"After the killing, elders held a “Blood-and-Bone” rite; he lifted fragments of his mother’s burnt bones to his lips to “breathe in her spirit,” a ritual he repeated whenever catastrophe loomed, turning him gloomy yet unyielding.",contradict,"[""The elders held a Blood-and-Bone rite after the killing."", ""He lifted fragments of his mother's burnt bones to his lips."", ""He breathed in her spirit by lifting fragments of her burnt bones to his lips."", ""A ritual was repeated whenever catastrophe loomed."", ""He repeated the ritual whenever catastrophe loomed."", ""This ritual made him gloomy."", ""The repetition of this ritual left him unyielding.""]"
55,In Search of the Castaways,Thalcave,,"His first double role: hired by a British Geographical Society expedition, he quietly altered the route to shield sacred Indian sites.",consistent,"[""A person was hired."", ""He worked for a British Geographical Society expedition."", ""The person altered a route."", ""The reason for altering the route was to shield sacred Indian sites.""]"
12,In Search of the Castaways,Jacques Paganel,,He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.”,contradict,"[""He declined."", ""The Britannia made a maiden voyage."", ""News of the Britannia's wreck arrived."", ""He filled three diary pages."", ""He wrote \""I could have prevented it\"" on three diary pages.""]"
13,In Search of the Castaways,Jacques Paganel,,His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her.,consistent,"[""He has deference to Lady Glenarvan."", ""Lady Glenarvan's feelings echo in him."", ""His past feelings about his mother are tangled."", ""He tries to atone for failing to protect his mother."", ""He becomes the expedition's \""living map\"".""]"
102,The Count of Monte Cristo,Noirtier,Involvement and Turning Point in the French Revolution,"During the Revolution he acted as a militant republican, attended major assemblies and helped organise trials of royalists.",consistent,"[""He acted as a militant republican."", ""He attended major assemblies."", ""He helped organise trials of royalists.""]"
