story_id,prediction,rationale
95,1,All the claims in the backstory are true
136,1,All the claims in the backstory are true
59,1,All the claims in the backstory are true
60,1,All the claims in the backstory are true
124,1,All the claims in the backstory are true
111,0,"The excerpt contradicts the claim because it portrays Villefort's father as a devoted royalist who has renounced his past anti-royalist stance, indicating support for monarchy rather than encouraging moves against it."
135,0,"The excerpt contradicts the claim because it clearly indicates that Dantès had been imprisoned for six years, not four."
27,1,All the claims in the backstory are true
110,1,All the claims in the backstory are true
42,1,All the claims in the backstory are true
56,1,All the claims in the backstory are true
80,1,All the claims in the backstory are true
28,1,All the claims in the backstory are true
101,1,All the claims in the backstory are true
91,1,All the claims in the backstory are true
24,1,All the claims in the backstory are true
119,1,All the claims in the backstory are true
93,1,All the claims in the backstory are true
72,1,All the claims in the backstory are true
16,0,"The excerpt contradicts the claim because it clearly states the person was born in Paris, not Calcutta."
30,1,All the claims in the backstory are true
97,0,"The excerpt contradicts the claim because it clearly lists events from multiple volumes beyond Book II, indicating that ""This"" occurred in later parts of the novel."
22,1,All the claims in the backstory are true
53,0,"The excerpt contradicts the claim because it describes ""they"" throwing a corpse into the sea rather than plunging off a cliff themselves."
58,1,All the claims in the backstory are true
81,1,All the claims in the backstory are true
47,1,All the claims in the backstory are true
7,1,All the claims in the backstory are true
121,1,All the claims in the backstory are true
129,1,All the claims in the backstory are true
51,1,All the claims in the backstory are true
127,1,All the claims in the backstory are true
133,1,All the claims in the backstory are true
52,1,All the claims in the backstory are true
114,1,All the claims in the backstory are true
2,1,All the claims in the backstory are true
33,1,All the claims in the backstory are true
15,1,All the claims in the backstory are true
82,1,All the claims in the backstory are true
37,0,"The excerpt contradicts the claim about Tom Ayrton because it describes the birth and early life of a different character, clearly not taking place near Exeter."
3,1,All the claims in the backstory are true
103,1,All the claims in the backstory are true
94,0,"The excerpt contradicts the claim because it describes Faria avoiding gestures to conceal his paralysis from the governor, indicating his tremors did not worsen but were actually concealed."
85,1,All the claims in the backstory are true
21,1,All the claims in the backstory are true
49,1,All the claims in the backstory are true
140,1,All the claims in the backstory are true
64,1,All the claims in the backstory are true
131,0,"The excerpt contradicts the claim because it explicitly states that the individual was born in 1817, not in 1760 as claimed."
61,1,All the claims in the backstory are true
86,1,All the claims in the backstory are true
38,1,All the claims in the backstory are true
132,1,All the claims in the backstory are true
77,1,All the claims in the backstory are true
70,1,All the claims in the backstory are true
115,1,All the claims in the backstory are true
78,1,All the claims in the backstory are true
87,1,All the claims in the backstory are true
75,1,All the claims in the backstory are true
44,1,All the claims in the backstory are true
